"lmsid_old","lmsserie","lmsidprotocolo","lmsdatahorainc","lmsbytes","lmsflagio","lmsmensagem","lmstipomensagem","lsmbytescompress","lmsdatahoraexibicao","lmsid","lmsiporigem","lmsportaorigem","lmsreceiverinstance","lmsidcanalcomunicacao"
NULL,"869412074480093",0,"2025-10-17 00:00:47.242",52,True,"78782F32190A1103002DC40337B0D4057D955800880002D406C4AF0AAF7801010000004A9494056E00075D8D422D0003A2DD0D0A",0,0,NULL,NULL,"10.244.203.192",50241,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:02:07.265",15,True,"78780A134606040001000432A60D0A",0,0,NULL,NULL,"10.244.203.192",50241,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:03:48.185",52,True,"78782F32190A1103032DC603377108057DA73800986802D406C4AF0AB14334010000004A9494057800075E41422D000528A70D0A",0,0,NULL,NULL,"10.244.203.192",50241,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:05:36.311",18,True,"78780D01086941207448009300005ABB0D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:05:38.312",15,True,"78780A130606030001000192D10D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:05:39.316",52,True,"78782F32190A1103030BC60337725C057DAB38009800000000000000000000010000004A9494057800075E41422D00022BCD0D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:08:19.454",52,True,"78782F32190A11030811C40337DE1C057DF7980088D402D406C4AF0AAF6A01010000004A9C00057800075EF5422D000334290D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:09:39.521",15,True,"78780A134606040001000432A60D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:11:19.58",52,True,"78782F32190A11030B11C703386F70057DE2684B98AE02D406C4AF0AAF5917010000004AA560057800075FA9422D0005DC5F0D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:13:39.59",15,True,"78780A134606040001000611B40D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:14:19.697",52,True,"78782F32190A11030E12C70339171C057D85404898AA02D406C8970AAFAC17010000004AB11805820007605D422D0007462B0D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:17:19.691",52,True,"78782F32190A11031112C803397988057D65B83998A402D406C8970AB2BF03010000004ABADC057800076111422D00080F1E0D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:17:39.678",15,True,"78780A1346060400010009E9430D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:18:43.734",46,True,"78782916190A1103122AC603398B84057D4CD80008C00802D406C897B2BF02040603FF01004ABD34000A33280D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:18:44.685",15,True,"78780A130406030001000B0A300D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:19:42.743",52,True,"78782F32190A1103132AC603398B60057D4CD00018C002D406C8970AB2BF02000000004ABD34050000076165422D000C407F0D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:21:39.833",15,True,"78780A134406040001000D98DC0D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:21:43.699",15,True,"78780A134506040001000E35920D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:25:39.89",15,True,"78780A134506040001000F241B0D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:29:39.987",15,True,"78780A1345060400010010CC6D0D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:33:40.759",15,True,"78780A1345060400010011DDE40D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:37:40.166",15,True,"78780A1345060400010012EF7F0D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:41:40.264",15,True,"78780A1345060400010013FEF60D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:45:40.364",15,True,"78780A13450604000100148A490D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:49:40.451",15,True,"78780A13450604000100159BC00D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:53:40.575",15,True,"78780A1345060400010016A95B0D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 00:57:40.659",15,True,"78780A1345060400010017B8D20D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 01:01:40.833",15,True,"78780A134506040001001840250D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 01:05:40.844",15,True,"78780A134506040001001951AC0D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 01:09:40.945",15,True,"78780A134506040001001A63370D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 01:13:41.052",15,True,"78780A134506040001001B72BE0D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
NULL,"869412074480093",0,"2025-10-17 01:17:41.196",15,True,"78780A134506040001001C06010D0A",0,0,NULL,NULL,"10.244.39.197",46630,NULL,NULL
