Data/Hora Inclusão,Data/Hora Evento,IMEI,Sequência,Tipo Mensagem,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Alimentação Externa,Bateria interna,Analog Input Status,Satélites,Duração da Ignição,Velocidade,Azimuth,Latitude,Longitude,MCC,MNC,LAC,Cell ID,Realtime positioning,GPS valido,Hodômetro Total,Horímetro Total,Tipo de Rede,Qualidade do sinal de GSM
2025-08-11 14:54:33,2025-08-01 07:36:57,123456789012345,95,Temporizada,77,GT06V4,555,14.20,,1,10,,53,120,-22.868484,-43.263809,02D4,02,7DB2,0219FF09,0,1,11303.1,16-15:42:10,4,
2025-08-11 14:54:33,,123456789012345,96,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,03
2025-08-11 14:54:33,2025-08-01 07:39:57,123456789012345,97,Temporizada,77,GT06V4,555,14.20,,1,11,,40,340,-22.861271,-43.257591,02D4,02,7DBA,021A05CC,0,1,11304.8,16-15:45:10,4,
2025-08-11 14:54:33,,123456789012345,98,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-11 14:54:33,2025-08-01 07:42:57,123456789012345,99,Temporizada,77,GT06V4,555,14.30,,1,11,,36,58,-22.852038,-43.259040,02D4,02,7DBA,0217E8C2,0,1,11306.3,16-15:48:10,4,
2025-08-11 14:54:33,,123456789012345,100,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-11 14:54:33,2025-08-01 07:45:52,123456789012345,101,IGF,77,GT06V4,,,Bateria extremamente alta,,12,,0,312,-22.845149,-43.252093,02D4,02,7DBA,1A07C9,0,1,11307.4,,,
2025-08-11 14:54:33,,123456789012345,102,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-11 14:54:33,2025-08-01 07:46:51,123456789012345,103,Temporizada,77,GT06V4,555,12.70,,0,11,,0,312,-22.845149,-43.252093,02D4,02,7DBA,021A07C9,0,1,11307.4,16-15:51:04,4,
2025-08-11 14:54:33,,123456789012345,104,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
2025-08-11 14:54:33,,123456789012345,105,Heartbeat,77,GT06V4,,,Bateria extremamente alta,,,,,,,,,,,,,,,,,04
